algorithm,data_type,threshold,n,run_index,time_ms
merge_std,random,-1,500,0,0.152
merge_std,random,-1,500,1,0.142
merge_std,random,-1,500,2,0.198
merge_std,random,-1,500,3,0.137
merge_std,random,-1,500,4,0.137
merge_hybrid,random,5,500,0,0.124
merge_hybrid,random,5,500,1,0.119
merge_hybrid,random,5,500,2,0.116
merge_hybrid,random,5,500,3,0.115
merge_hybrid,random,5,500,4,0.115
merge_hybrid,random,10,500,0,0.122
merge_hybrid,random,10,500,1,0.111
merge_hybrid,random,10,500,2,0.108
merge_hybrid,random,10,500,3,0.107
merge_hybrid,random,10,500,4,0.106
merge_hybrid,random,20,500,0,0.106
merge_hybrid,random,20,500,1,0.104
merge_hybrid,random,20,500,2,0.103
merge_hybrid,random,20,500,3,0.103
merge_hybrid,random,20,500,4,0.138
merge_hybrid,random,30,500,0,0.103
merge_hybrid,random,30,500,1,0.102
merge_hybrid,random,30,500,2,0.102
merge_hybrid,random,30,500,3,0.102
merge_hybrid,random,30,500,4,0.102
merge_hybrid,random,50,500,0,0.108
merge_hybrid,random,50,500,1,0.108
merge_hybrid,random,50,500,2,0.107
merge_hybrid,random,50,500,3,0.106
merge_hybrid,random,50,500,4,0.106
merge_std,reverse,-1,500,0,0.148
merge_std,reverse,-1,500,1,0.1
merge_std,reverse,-1,500,2,0.099
merge_std,reverse,-1,500,3,0.099
merge_std,reverse,-1,500,4,0.099
merge_hybrid,reverse,5,500,0,0.083
merge_hybrid,reverse,5,500,1,0.079
merge_hybrid,reverse,5,500,2,0.078
merge_hybrid,reverse,5,500,3,0.078
merge_hybrid,reverse,5,500,4,0.078
merge_hybrid,reverse,10,500,0,0.073
merge_hybrid,reverse,10,500,1,0.071
merge_hybrid,reverse,10,500,2,0.07
merge_hybrid,reverse,10,500,3,0.07
merge_hybrid,reverse,10,500,4,0.11
merge_hybrid,reverse,20,500,0,0.071
merge_hybrid,reverse,20,500,1,0.069
merge_hybrid,reverse,20,500,2,0.07
merge_hybrid,reverse,20,500,3,0.069
merge_hybrid,reverse,20,500,4,0.069
merge_hybrid,reverse,30,500,0,0.069
merge_hybrid,reverse,30,500,1,0.069
merge_hybrid,reverse,30,500,2,0.069
merge_hybrid,reverse,30,500,3,0.069
merge_hybrid,reverse,30,500,4,0.069
merge_hybrid,reverse,50,500,0,0.091
merge_hybrid,reverse,50,500,1,0.119
merge_hybrid,reverse,50,500,2,0.091
merge_hybrid,reverse,50,500,3,0.091
merge_hybrid,reverse,50,500,4,0.091
merge_std,almost,-1,500,0,0.096
merge_std,almost,-1,500,1,0.095
merge_std,almost,-1,500,2,0.095
merge_std,almost,-1,500,3,0.095
merge_std,almost,-1,500,4,0.095
merge_hybrid,almost,5,500,0,0.074
merge_hybrid,almost,5,500,1,0.073
merge_hybrid,almost,5,500,2,0.089
merge_hybrid,almost,5,500,3,0.102
merge_hybrid,almost,5,500,4,0.09
merge_hybrid,almost,10,500,0,0.063
merge_hybrid,almost,10,500,1,0.063
merge_hybrid,almost,10,500,2,0.063
merge_hybrid,almost,10,500,3,0.063
merge_hybrid,almost,10,500,4,0.062
merge_hybrid,almost,20,500,0,0.052
merge_hybrid,almost,20,500,1,0.053
merge_hybrid,almost,20,500,2,0.052
merge_hybrid,almost,20,500,3,0.052
merge_hybrid,almost,20,500,4,0.052
merge_hybrid,almost,30,500,0,0.052
merge_hybrid,almost,30,500,1,0.052
merge_hybrid,almost,30,500,2,0.052
merge_hybrid,almost,30,500,3,0.052
merge_hybrid,almost,30,500,4,0.052
merge_hybrid,almost,50,500,0,0.075
merge_hybrid,almost,50,500,1,0.042
merge_hybrid,almost,50,500,2,0.042
merge_hybrid,almost,50,500,3,0.042
merge_hybrid,almost,50,500,4,0.042
merge_std,random,-1,600,0,0.217
merge_std,random,-1,600,1,0.177
merge_std,random,-1,600,2,0.172
merge_std,random,-1,600,3,0.17
merge_std,random,-1,600,4,0.17
merge_hybrid,random,5,600,0,0.151
merge_hybrid,random,5,600,1,0.147
merge_hybrid,random,5,600,2,0.143
merge_hybrid,random,5,600,3,0.141
merge_hybrid,random,5,600,4,0.14
merge_hybrid,random,10,600,0,0.139
merge_hybrid,random,10,600,1,0.167
merge_hybrid,random,10,600,2,0.135
merge_hybrid,random,10,600,3,0.132
merge_hybrid,random,10,600,4,0.132
merge_hybrid,random,20,600,0,0.133
merge_hybrid,random,20,600,1,0.132
merge_hybrid,random,20,600,2,0.131
merge_hybrid,random,20,600,3,0.16
merge_hybrid,random,20,600,4,0.13
merge_hybrid,random,30,600,0,0.129
merge_hybrid,random,30,600,1,0.129
merge_hybrid,random,30,600,2,0.129
merge_hybrid,random,30,600,3,0.149
merge_hybrid,random,30,600,4,0.129
merge_hybrid,random,50,600,0,0.142
merge_hybrid,random,50,600,1,0.142
merge_hybrid,random,50,600,2,0.179
merge_hybrid,random,50,600,3,0.141
merge_hybrid,random,50,600,4,0.141
merge_std,reverse,-1,600,0,0.129
merge_std,reverse,-1,600,1,0.125
merge_std,reverse,-1,600,2,0.124
merge_std,reverse,-1,600,3,0.124
merge_std,reverse,-1,600,4,0.124
merge_hybrid,reverse,5,600,0,0.1
merge_hybrid,reverse,5,600,1,0.096
merge_hybrid,reverse,5,600,2,0.095
merge_hybrid,reverse,5,600,3,0.095
merge_hybrid,reverse,5,600,4,0.095
merge_hybrid,reverse,10,600,0,0.09
merge_hybrid,reverse,10,600,1,0.088
merge_hybrid,reverse,10,600,2,0.087
merge_hybrid,reverse,10,600,3,0.087
merge_hybrid,reverse,10,600,4,0.087
merge_hybrid,reverse,20,600,0,0.092
merge_hybrid,reverse,20,600,1,0.234
merge_hybrid,reverse,20,600,2,0.091
merge_hybrid,reverse,20,600,3,0.133
merge_hybrid,reverse,20,600,4,0.091
merge_hybrid,reverse,30,600,0,0.091
merge_hybrid,reverse,30,600,1,0.091
merge_hybrid,reverse,30,600,2,0.091
merge_hybrid,reverse,30,600,3,0.091
merge_hybrid,reverse,30,600,4,0.091
merge_hybrid,reverse,50,600,0,0.13
merge_hybrid,reverse,50,600,1,0.13
merge_hybrid,reverse,50,600,2,0.13
merge_hybrid,reverse,50,600,3,0.13
merge_hybrid,reverse,50,600,4,0.13
merge_std,almost,-1,600,0,0.118
merge_std,almost,-1,600,1,0.117
merge_std,almost,-1,600,2,0.117
merge_std,almost,-1,600,3,0.117
merge_std,almost,-1,600,4,0.205
merge_hybrid,almost,5,600,0,0.088
merge_hybrid,almost,5,600,1,0.087
merge_hybrid,almost,5,600,2,0.087
merge_hybrid,almost,5,600,3,0.087
merge_hybrid,almost,5,600,4,0.087
merge_hybrid,almost,10,600,0,0.076
merge_hybrid,almost,10,600,1,0.075
merge_hybrid,almost,10,600,2,0.075
merge_hybrid,almost,10,600,3,0.075
merge_hybrid,almost,10,600,4,0.075
merge_hybrid,almost,20,600,0,0.063
merge_hybrid,almost,20,600,1,0.062
merge_hybrid,almost,20,600,2,0.062
merge_hybrid,almost,20,600,3,0.062
merge_hybrid,almost,20,600,4,0.062
merge_hybrid,almost,30,600,0,0.062
merge_hybrid,almost,30,600,1,0.062
merge_hybrid,almost,30,600,2,0.062
merge_hybrid,almost,30,600,3,0.062
merge_hybrid,almost,30,600,4,0.062
