algorithm,data_type,threshold,n,mean_ms,median_ms,stddev_ms
merge_hybrid,almost,5,500,0.0856,0.089,0.0108922
merge_hybrid,almost,5,600,0.0872,0.087,0.0004
merge_hybrid,almost,5,700,0.1082,0.108,0.0004
merge_hybrid,almost,5,800,0.1428,0.133,0.0191039
merge_hybrid,almost,5,900,0.1636,0.151,0.0179064
merge_hybrid,almost,5,1000,0.1716,0.164,0.0152
merge_hybrid,almost,5,1100,0.1824,0.182,0.000489898
merge_hybrid,almost,5,1200,0.2198,0.197,0.0292944
merge_hybrid,almost,5,1300,0.2618,0.233,0.0675023
merge_hybrid,almost,5,1400,0.3612,0.245,0.177242
merge_hybrid,almost,5,1500,0.2816,0.276,0.0112
merge_hybrid,almost,5,1600,0.3204,0.303,0.0265074
merge_hybrid,almost,5,1700,0.3278,0.318,0.0167619
merge_hybrid,almost,5,1800,0.4228,0.441,0.0604132
merge_hybrid,almost,5,1900,0.5558,0.545,0.0290544
merge_hybrid,almost,5,2000,0.4102,0.408,0.0280029
merge_hybrid,almost,5,2100,0.3986,0.395,0.00722772
merge_hybrid,almost,5,2200,0.4256,0.42,0.0112
merge_hybrid,almost,5,2300,0.4444,0.433,0.0144305
merge_hybrid,almost,5,2400,0.459,0.454,0.010583
merge_hybrid,almost,5,2500,0.477,0.469,0.0170059
merge_hybrid,almost,5,2600,0.4978,0.491,0.0108517
merge_hybrid,almost,5,2700,0.5376,0.53,0.0106696
merge_hybrid,almost,5,2800,0.568,0.559,0.0170997
merge_hybrid,almost,5,2900,0.5976,0.593,0.0102098
merge_hybrid,almost,5,3000,0.6396,0.622,0.0238126
merge_hybrid,almost,5,3100,0.672,0.67,0.0128841
merge_hybrid,almost,5,3200,0.688,0.692,0.00989949
merge_hybrid,almost,5,3300,0.8512,0.728,0.172874
merge_hybrid,almost,5,3400,0.7318,0.721,0.0132424
merge_hybrid,almost,5,3500,0.7538,0.744,0.0196306
merge_hybrid,almost,5,3600,0.7854,0.786,0.0158063
merge_hybrid,almost,5,3700,0.8044,0.781,0.0313598
merge_hybrid,almost,5,3800,0.8122,0.819,0.0167976
merge_hybrid,almost,5,3900,0.8342,0.83,0.0134224
merge_hybrid,almost,5,4000,0.86,0.863,0.0128996
merge_hybrid,almost,5,4100,0.884,0.885,0.0270777
merge_hybrid,almost,5,4200,1.0144,0.939,0.158418
merge_hybrid,almost,5,4300,1.0642,0.985,0.137786
merge_hybrid,almost,5,4400,0.9884,0.969,0.0328366
merge_hybrid,almost,5,4500,1.0786,0.991,0.194567
merge_hybrid,almost,5,4600,1.0078,1.001,0.034301
merge_hybrid,almost,5,4700,1.0246,1.029,0.0112178
merge_hybrid,almost,5,4800,1.109,1.058,0.11771
merge_hybrid,almost,5,4900,1.7592,1.668,0.395602
merge_hybrid,almost,5,5000,1.109,1.098,0.0394715
merge_hybrid,almost,5,5100,1.1694,1.173,0.0569231
merge_hybrid,almost,5,5200,1.2144,1.155,0.14582
merge_hybrid,almost,5,5300,1.1712,1.163,0.0129677
merge_hybrid,almost,5,5400,1.2308,1.224,0.0316695
merge_hybrid,almost,5,5500,1.251,1.253,0.0174356
merge_hybrid,almost,5,5600,1.2876,1.28,0.0293026
merge_hybrid,almost,5,5700,2.3138,1.462,1.75286
merge_hybrid,almost,5,5800,1.36,1.359,0.0183739
merge_hybrid,almost,5,5900,1.4038,1.403,0.0184759
merge_hybrid,almost,5,6000,1.5382,1.512,0.110048
merge_hybrid,almost,5,6100,1.5464,1.509,0.0847174
merge_hybrid,almost,5,6200,2.1814,2.187,0.0353248
merge_hybrid,almost,5,6300,2.0366,2.012,0.0844952
merge_hybrid,almost,5,6400,1.5644,1.564,0.0370222
merge_hybrid,almost,5,6500,1.5776,1.569,0.0254763
merge_hybrid,almost,5,6600,1.6302,1.608,0.0558333
merge_hybrid,almost,5,6700,1.6226,1.616,0.0275725
merge_hybrid,almost,5,6800,1.6464,1.637,0.0200759
merge_hybrid,almost,5,6900,1.6708,1.671,0.00667533
merge_hybrid,almost,5,7000,1.7032,1.693,0.0290475
merge_hybrid,almost,5,7100,1.7388,1.736,0.0362293
merge_hybrid,almost,5,7200,1.7582,1.769,0.0448348
merge_hybrid,almost,5,7300,1.784,1.766,0.0429325
merge_hybrid,almost,5,7400,1.78,1.773,0.0128219
