array_type,n,algorithm,threshold,mean_usec,median_usec,runs_usec
random,500,standard,NA,135.000000,122.000000,"122;296;73;123;61"
random,500,hybrid,5,33.000000,33.000000,"43;33;26;36;27"
random,500,hybrid,10,21.800000,18.000000,"34;23;18;17;17"
random,500,hybrid,20,22.600000,23.000000,"26;23;20;20;24"
random,500,hybrid,30,14.200000,14.000000,"15;14;14;14;14"
random,500,hybrid,50,19.800000,21.000000,"21;23;22;19;14"
random,600,standard,NA,93.200000,91.000000,"113;98;86;91;78"
random,600,hybrid,5,38.600000,37.000000,"43;42;37;35;36"
random,600,hybrid,10,29.000000,27.000000,"37;30;27;25;26"
random,600,hybrid,20,27.800000,29.000000,"32;29;29;24;25"
random,600,hybrid,30,39.400000,26.000000,"26;26;93;27;25"
random,600,hybrid,50,28.400000,27.000000,"34;29;27;26;26"
random,700,standard,NA,112.600000,101.000000,"166;122;101;88;86"
random,700,hybrid,5,56.400000,57.000000,"57;59;57;60;49"
random,700,hybrid,10,41.400000,43.000000,"47;48;43;35;34"
random,700,hybrid,20,30.800000,29.000000,"38;33;29;28;26"
random,700,hybrid,30,34.200000,34.000000,"33;36;34;37;31"
random,700,hybrid,50,29.400000,28.000000,"34;30;28;28;27"
random,800,standard,NA,132.800000,122.000000,"195;131;111;122;105"
random,800,hybrid,5,63.000000,61.000000,"74;65;61;58;57"
random,800,hybrid,10,53.600000,53.000000,"54;53;53;56;52"
random,800,hybrid,20,46.600000,43.000000,"53;52;43;42;43"
random,800,hybrid,30,33.400000,31.000000,"44;35;31;29;28"
random,800,hybrid,50,35.600000,35.000000,"39;37;35;34;33"
random,900,standard,NA,142.000000,129.000000,"148;190;129;123;120"
random,900,hybrid,5,71.800000,70.000000,"82;74;70;67;66"
random,900,hybrid,10,54.600000,53.000000,"63;57;53;51;49"
random,900,hybrid,20,44.800000,43.000000,"52;48;43;41;40"
random,900,hybrid,30,38.800000,37.000000,"45;41;37;36;35"
random,900,hybrid,50,32.800000,33.000000,"34;33;33;32;32"
random,1000,standard,NA,154.000000,147.000000,"161;181;147;142;139"
random,1000,hybrid,5,83.200000,81.000000,"94;85;81;79;77"
random,1000,hybrid,10,64.000000,63.000000,"73;66;63;60;58"
random,1000,hybrid,20,63.200000,57.000000,"59;57;52;49;99"
random,1000,hybrid,30,45.400000,45.000000,"48;46;45;44;44"
random,1000,hybrid,50,58.800000,52.000000,"52;50;76;72;44"
random,1100,standard,NA,170.000000,166.000000,"193;171;166;162;158"
random,1100,hybrid,5,94.800000,93.000000,"104;97;93;91;89"
random,1100,hybrid,10,77.200000,76.000000,"85;80;76;74;71"
random,1100,hybrid,20,69.400000,66.000000,"71;66;91;61;58"
random,1100,hybrid,30,63.600000,65.000000,"57;72;70;65;54"
random,1100,hybrid,50,56.800000,56.000000,"62;59;56;54;53"
random,1200,standard,NA,195.400000,193.000000,"200;189;209;193;186"
random,1200,hybrid,5,116.200000,106.000000,"117;158;106;101;99"
random,1200,hybrid,10,85.800000,85.000000,"94;88;85;82;80"
random,1200,hybrid,20,70.400000,70.000000,"77;73;70;67;65"
random,1200,hybrid,30,62.400000,62.000000,"64;63;62;62;61"
random,1200,hybrid,50,63.600000,63.000000,"69;66;63;61;59"
random,1300,standard,NA,217.000000,204.000000,"269;210;204;202;200"
random,1300,hybrid,5,121.400000,120.000000,"131;123;120;118;115"
random,1300,hybrid,10,190.800000,165.000000,"240;316;128;165;105"
random,1300,hybrid,20,115.400000,133.000000,"133;138;140;85;81"
random,1300,hybrid,30,94.800000,86.000000,"81;78;130;99;86"
random,1300,hybrid,50,82.000000,77.000000,"80;77;75;108;70"
random,1400,standard,NA,231.400000,224.000000,"263;224;235;219;216"
random,1400,hybrid,5,147.200000,142.000000,"151;142;139;137;167"
random,1400,hybrid,10,132.600000,125.000000,"159;139;125;121;119"
random,1400,hybrid,20,107.800000,107.000000,"114;110;107;105;103"
random,1400,hybrid,30,91.400000,91.000000,"97;94;91;88;87"
random,1400,hybrid,50,98.400000,92.000000,"92;90;119;87;104"
random,1500,standard,NA,245.000000,240.000000,"268;244;240;237;236"
random,1500,hybrid,5,179.600000,170.000000,"170;164;162;214;188"
random,1500,hybrid,10,164.200000,160.000000,"181;173;160;153;154"
random,1500,hybrid,20,143.200000,143.000000,"147;143;140;151;135"
random,1500,hybrid,30,124.800000,119.000000,"168;120;113;104;119"
random,1500,hybrid,50,103.400000,101.000000,"127;101;96;102;91"
random,1600,standard,NA,345.800000,355.000000,"381;304;355;311;378"
random,1600,hybrid,5,249.600000,217.000000,"227;208;216;217;380"
random,1600,hybrid,10,159.600000,164.000000,"164;169;180;144;141"
random,1600,hybrid,20,139.600000,127.000000,"179;140;127;126;126"
random,1600,hybrid,30,119.200000,121.000000,"121;112;109;127;127"
random,1600,hybrid,50,193.800000,213.000000,"213;186;219;233;118"
random,1700,standard,NA,277.600000,275.000000,"290;278;275;273;272"
random,1700,hybrid,5,198.000000,187.000000,"194;242;187;183;184"
random,1700,hybrid,10,238.400000,204.000000,"197;192;277;204;322"
random,1700,hybrid,20,287.800000,227.000000,"227;632;172;231;177"
random,1700,hybrid,30,148.000000,148.000000,"148;145;150;150;147"
random,1700,hybrid,50,139.800000,143.000000,"134;144;146;143;132"
random,1800,standard,NA,337.000000,295.000000,"487;319;295;293;291"
random,1800,hybrid,5,207.400000,197.000000,"206;197;246;196;192"
random,1800,hybrid,10,168.800000,168.000000,"177;169;168;165;165"
